Year,Tipus Habitatge,Units,Value
2015,,Número Total,2799
2015,Sense sostre,Número Total,945
2015,Sense habitatge,Número Total,996
2015,Habitatge insegur,Número Total,424
2015,Habitatge inadequat,Número Total,434
2017,,Número Total,3383
2017,Sense sostre,Número Total,1227
2017,Sense habitatge,Número Total,1303
2017,Habitatge insegur,Número Total,438
2017,Habitatge inadequat,Número Total,415
2019,,Número Total,3684
2019,Sense sostre,Número Total,1286
2019,Sense habitatge,Número Total,1338
2019,Habitatge insegur,Número Total,562
2019,Habitatge inadequat,Número Total,498
