Year,Tipus de servei cultural,Units,Value
2016,Biblioteca pública,Percentatge,16.5
2017,Biblioteca pública,Percentatge,
2018,Biblioteca pública,Percentatge,
2019,Biblioteca pública,Percentatge,13.8
2020,Biblioteca pública,Percentatge,13.2
2016,Festival popular,Percentatge,11.7
2017,Festival popular,Percentatge,
2018,Festival popular,Percentatge,
2019,Festival popular,Percentatge,16.1
2020,Festival popular,Percentatge,14.4
2016,Activitat cultural,Percentatge,23.7
2017,Activitat cultural,Percentatge,
2018,Activitat cultural,Percentatge,
2019,Activitat cultural,Percentatge,22.4
2020,Activitat cultural,Percentatge,23.9
