Year,Habilitats bàsiques,Units,Value
2015-2016,Català,Percentatge,90.2
2015-2016,Castellà,Percentatge,91.5
2015-2016,English ,Percentatge,89.4
2015-2016,Matemàtiques,Percentatge,88.0
2015-2016,Ciència i Tecnologia,Percentatge,85.9
2016-2017,Català,Percentatge,90.9
2016-2017,Castellà,Percentatge,90.7
2016-2017,English ,Percentatge,90.1
2016-2017,Matemàtiques,Percentatge,88.0
2016-2017,Ciència i Tecnologia,Percentatge,86.2
2017-2018,Català,Percentatge,90.9
2017-2018,Castellà,Percentatge,91.4
2017-2018,English ,Percentatge,90.5
2017-2018,Matemàtiques,Percentatge,90.4
2017-2018,Ciència i Tecnologia,Percentatge,86.6
2018-2019,Català,Percentatge,88.9
2018-2019,Castellà,Percentatge,90.4
2018-2019,English ,Percentatge,92.4
2018-2019,Matemàtiques,Percentatge,87.5
2018-2019,Ciència i Tecnologia,Percentatge,86.0
