Year,Idioma,Units,Value
2015,Català,Percentatge,77.0
2016,Català,Percentatge,76.0
2017,Català,Percentatge,75.0
2018,Català,Percentatge,77.0
2019,Català,Percentatge,77.0
2020,Català,Percentatge,77.0
2015,Castellà,Percentatge,100.0
2016,Castellà,Percentatge,100.0
2017,Castellà,Percentatge,100.0
2018,Castellà,Percentatge,100.0
2019,Castellà,Percentatge,100.0
2020,Castellà,Percentatge,100.0
2015,Anglès,Percentatge,44.0
2016,Anglès,Percentatge,46.0
2017,Anglès,Percentatge,48.0
2018,Anglès,Percentatge,51.0
2019,Anglès,Percentatge,51.0
2020,Anglès,Percentatge,57.0
