Year,Àrea Geogràfica,Units,Value
2014,Barcelona,Variació percentual anual,
2015,Barcelona,Variació percentual anual,2.46
2016,Barcelona,Variació percentual anual,2.63
2017,Barcelona,Variació percentual anual,3.03
2018,Barcelona,Variació percentual anual,2.73
2019,Barcelona,Variació percentual anual,1.47
2014,Unió Europea,Variació percentual anual,
2015,Unió Europea,Variació percentual anual,2.13
2016,Unió Europea,Variació percentual anual,1.83
2017,Unió Europea,Variació percentual anual,2.58
2018,Unió Europea,Variació percentual anual,2.0
2019,Unió Europea,Variació percentual anual,1.36
2014,Espanya,Variació percentual anual,
2015,Espanya,Variació percentual anual,3.84
2016,Espanya,Variació percentual anual,3.03
2017,Espanya,Variació percentual anual,2.89
2018,Espanya,Variació percentual anual,2.35
2019,Espanya,Variació percentual anual,1.52
2014,Barcelona,Creixement acumulat del PIB,100.0
2015,Barcelona,Creixement acumulat del PIB,102.46
2016,Barcelona,Creixement acumulat del PIB,105.16
2017,Barcelona,Creixement acumulat del PIB,108.34
2018,Barcelona,Creixement acumulat del PIB,111.3
2019,Barcelona,Creixement acumulat del PIB,112.94
