Year,Àrea Geogràfica,Units,Value
2014,Barcelona,Variació percentual anual,
2015,Barcelona,Variació percentual anual,2.48
2016,Barcelona,Variació percentual anual,-1.65
2017,Barcelona,Variació percentual anual,2.87
2018,Barcelona,Variació percentual anual,3.89
2019,Barcelona,Variació percentual anual,0.7
2014,Barcelona,Creixement acumulat del PIB,100.0
2015,Barcelona,Creixement acumulat del PIB,102.48
2016,Barcelona,Creixement acumulat del PIB,100.79
2017,Barcelona,Creixement acumulat del PIB,103.68
2018,Barcelona,Creixement acumulat del PIB,107.72
2019,Barcelona,Creixement acumulat del PIB,108.47
