Year,TipusHabitatge,Units,Value
2015,,Persones,2799
2015,Sense sostre,Persones,945
2015,Sense habitatge,Persones,424
2015,Habitatge insegur,Persones,434
2015,Habitatge inadequat,Persones,2799
2017,,Persones,3383
2017,Sense sostre,Persones,1227
2017,Sense habitatge,Persones,438
2017,Habitatge insegur,Persones,415
2017,Habitatge inadequat,Persones,3383
2019,,Persones,3684
2019,Sense sostre,Persones,1286
2019,Sense habitatge,Persones,562
2019,Habitatge insegur,Persones,498
2019,Habitatge inadequat,Persones,3684
