Year,Basic_Skill,Units,Value
2015-2016,Catalan,Percentage,90.20
2015-2016,Spanish,Percentage,91.50
2015-2016,English ,Percentage,89.40
2015-2016,Mathematics,Percentage,88.00
2015-2016,Science and Technology,Percentage,85.90
2016-2017,Catalan,Percentage,90.90
2016-2017,Spanish,Percentage,90.70
2016-2017,English ,Percentage,90.10
2016-2017,Mathematics,Percentage,88.00
2016-2017,Science and Technology,Percentage,86.20
2017-2018,Catalan,Percentage,90.90
2017-2018,Spanish,Percentage,91.40
2017-2018,English ,Percentage,90.50
2017-2018,Mathematics,Percentage,90.40
2017-2018,Science and Technology,Percentage,86.60
2018-2019,Catalan,Percentage,88.90
2018-2019,Spanish,Percentage,90.40
2018-2019,English ,Percentage,92.40
2018-2019,Mathematics,Percentage,87.50
2018-2019,Science and Technology,Percentage,86.00
