Year,District,Units,Value
2015-2016,Barcelona,Percentage,89.50
2015-2016,Ciutat Vella,Percentage,74.10
2015-2016,Eixample,Percentage,92.90
2015-2016,Sants-Montjuïc,Percentage,84.40
2015-2016,Les Corts,Percentage,92.50
2015-2016,Sarrià-Sant Gervasi,Percentage,94.10
2015-2016,Gràcia,Percentage,94.20
2015-2016,Horta-Guinardó,Percentage,90.20
2015-2016,Nou Barris,Percentage,82.70
2015-2016,Sant Andreu,Percentage,88.80
2015-2016,Sant Martí,Percentage,88.20
2015-2016,Gap,Percentage,20.10
2016-2017,Barcelona,Percentage,89.50
2016-2017,Ciutat Vella,Percentage,79.20
2016-2017,Eixample,Percentage,89.50
2016-2017,Sants-Montjuïc,Percentage,84.80
2016-2017,Les Corts,Percentage,90.80
2016-2017,Sarrià-Sant Gervasi,Percentage,94.20
2016-2017,Gràcia,Percentage,95.50
2016-2017,Horta-Guinardó,Percentage,89.60
2016-2017,Nou Barris,Percentage,83.70
2016-2017,Sant Andreu,Percentage,90.60
2016-2017,Sant Martí,Percentage,89.00
2016-2017,Gap,Percentage,16.30
2017-2018,Barcelona,Percentage,90.70
2017-2018,Ciutat Vella,Percentage,78.00
2017-2018,Eixample,Percentage,92.60
2017-2018,Sants-Montjuïc,Percentage,86.20
2017-2018,Les Corts,Percentage,96.30
2017-2018,Sarrià-Sant Gervasi,Percentage,95.80
2017-2018,Gràcia,Percentage,96.00
2017-2018,Horta-Guinardó,Percentage,88.30
2017-2018,Nou Barris,Percentage,82.40
2017-2018,Sant Andreu,Percentage,90.80
2017-2018,Sant Martí,Percentage,90.30
2017-2018,Gap,Percentage,18.30
2018-2019,Barcelona,Percentage,90.00
2018-2019,Ciutat Vella,Percentage,85.00
2018-2019,Eixample,Percentage,91.80
2018-2019,Sants-Montjuïc,Percentage,85.60
2018-2019,Les Corts,Percentage,98.20
2018-2019,Sarrià-Sant Gervasi,Percentage,97.40
2018-2019,Gràcia,Percentage,93.80
2018-2019,Horta-Guinardó,Percentage,87.30
2018-2019,Nou Barris,Percentage,75.60
2018-2019,Sant Andreu,Percentage,91.40
2018-2019,Sant Martí,Percentage,86.30
2018-2019,Gap,Percentage,22.60
