Year,Type_Housing,Units,Value
2015,,Total Number,2799
2015,Roofless,Total Number,945
2015,Homeless,Total Number,996
2015,Unsafe housing,Total Number,424
2015,Inadequate housing,Total Number,434
2017,,Total Number,3383
2017,Roofless,Total Number,1227
2017,Homeless,Total Number,1303
2017,Unsafe housing,Total Number,438
2017,Inadequate housing,Total Number,415
2019,,Total Number,3684
2019,Roofless,Total Number,1286
2019,Homeless,Total Number,1338
2019,Unsafe housing,Total Number,562
2019,Inadequate housing,Total Number,498
