Year,District,Units,Value
2018,Barcelona,Rate per 1.000,16.01
2018,Ciutat Vella,Rate per 1.000,25.88
2018,Eixample,Rate per 1.000,15.3
2018,Sants-Montjuïc,Rate per 1.000,17.78
2018,Les Corts,Rate per 1.000,6.03
2018,Sarrià - Sant Gervasi,Rate per 1.000,6.42
2018,Gràcia,Rate per 1.000,4.58
2018,Horta - Guinardó,Rate per 1.000,7.19
2018,Nou Barris,Rate per 1.000,24.66
2018,Sant Andreu,Rate per 1.000,14.33
2018,Sant Martí,Rate per 1.000,15.0
2018,Barcelona,Differential higuest lowest rate,21.3
2019,Barcelona,Rate per 1.000,15.44
2019,Ciutat Vella,Rate per 1.000,26.04
2019,Eixample,Rate per 1.000,9.41
2019,Sants-Montjuïc,Rate per 1.000,16.44
2019,Les Corts,Rate per 1.000,10.45
2019,Sarrià - Sant Gervasi,Rate per 1.000,5.51
2019,Gràcia,Rate per 1.000,7.0
2019,Horta - Guinardó,Rate per 1.000,9.91
2019,Nou Barris,Rate per 1.000,23.98
2019,Sant Andreu,Rate per 1.000,14.11
2019,Sant Martí,Rate per 1.000,10.12
2019,Barcelona,Differential higuest lowest rate,20.53
