Year,Geographical Area,Units,Value
2014,Barcelona,Percentage annual variation,
2015,Barcelona,Percentage annual variation,2.48
2016,Barcelona,Percentage annual variation,-1.65
2017,Barcelona,Percentage annual variation,2.87
2018,Barcelona,Percentage annual variation,3.89
2019,Barcelona,Percentage annual variation,0.7
2014,Barcelona,Cumulated GDP Growth,100.0
2015,Barcelona,Cumulated GDP Growth,102.48
2016,Barcelona,Cumulated GDP Growth,100.79
2017,Barcelona,Cumulated GDP Growth,103.68
2018,Barcelona,Cumulated GDP Growth,107.72
2019,Barcelona,Cumulated GDP Growth,108.47
