Year,Tipo de transporte público,Units,Value
2015,Metro,Puntuación 0-10,7.6
2016,Metro,Puntuación 0-10,7.2
2017,Metro,Puntuación 0-10,7.2
2018,Metro,Puntuación 0-10,7.7
2019,Metro,Puntuación 0-10,7.5
2015,Bus,Puntuación 0-10,7.2
2016,Bus,Puntuación 0-10,6.9
2017,Bus,Puntuación 0-10,7.1
2018,Bus,Puntuación 0-10,7.3
2019,Bus,Puntuación 0-10,7.3
2015,Bicing ,Puntuación 0-10,7.0
2016,Bicing ,Puntuación 0-10,7.1
2017,Bicing ,Puntuación 0-10,7.2
2018,Bicing ,Puntuación 0-10,7.2
2019,Bicing ,Puntuación 0-10,7.9
2015,Tram,Puntuación 0-10,
2016,Tram,Puntuación 0-10,
2017,Tram,Puntuación 0-10,7.7
2018,Tram,Puntuación 0-10,8.1
2019,Tram,Puntuación 0-10,7.9
