Year,Habilidades básicas,Units,Value
2016-2017,Catalán,Porcentaje,90.2
2016-2017,Español,Porcentaje,91.5
2016-2017,Inglés,Porcentaje,89.4
2016-2017,Matemáticas,Porcentaje,88.0
2016-2017,Ciencia y Tecnología,Porcentaje,85.9
2017-2018,Catalán,Porcentaje,90.9
2017-2018,Español,Porcentaje,90.7
2017-2018,Inglés,Porcentaje,90.1
2017-2018,Matemáticas,Porcentaje,88.0
2017-2018,Ciencia y Tecnología,Porcentaje,86.2
2018-2019,Catalán,Porcentaje,90.9
2018-2019,Español,Porcentaje,91.4
2018-2019,Inglés,Porcentaje,90.5
2018-2019,Matemáticas,Porcentaje,90.4
2018-2019,Ciencia y Tecnología,Porcentaje,86.6
2019-2020,Catalán,Porcentaje,88.9
2019-2020,Español,Porcentaje,90.4
2019-2020,Inglés,Porcentaje,92.4
2019-2020,Matemáticas,Porcentaje,87.5
2019-2020,Ciencia y Tecnología,Porcentaje,86.0
2020-2021,Catalán,Porcentaje,89.1
2020-2021,Español,Porcentaje,89.1
2020-2021,Inglés,Porcentaje,86.2
2020-2021,Matemáticas,Porcentaje,81.7
2020-2021,Ciencia y Tecnología,Porcentaje,86.7
