Year,Language,Units,Value
2015,Catalan,Porcentaje,77.0
2016,Catalan,Porcentaje,76.0
2017,Catalan,Porcentaje,75.0
2018,Catalan,Porcentaje,77.0
2019,Catalan,Porcentaje,77.0
2020,Catalan,Porcentaje,77.0
2015,Spanish,Porcentaje,100.0
2016,Spanish,Porcentaje,100.0
2017,Spanish,Porcentaje,100.0
2018,Spanish,Porcentaje,100.0
2019,Spanish,Porcentaje,100.0
2020,Spanish,Porcentaje,100.0
2015,English,Porcentaje,44.0
2016,English,Porcentaje,46.0
2017,English,Porcentaje,48.0
2018,English,Porcentaje,51.0
2019,English,Porcentaje,51.0
2020,English,Porcentaje,57.0
