Year,Área Geográfica,Units,Value
2014,Barcelona,Variación porcentual anual,
2015,Barcelona,Variación porcentual anual,2.48
2016,Barcelona,Variación porcentual anual,-1.65
2017,Barcelona,Variación porcentual anual,2.87
2018,Barcelona,Variación porcentual anual,3.89
2019,Barcelona,Variación porcentual anual,0.7
2014,Barcelona,Crecimiento acumulado del PIB,100.0
2015,Barcelona,Crecimiento acumulado del PIB,102.48
2016,Barcelona,Crecimiento acumulado del PIB,100.79
2017,Barcelona,Crecimiento acumulado del PIB,103.68
2018,Barcelona,Crecimiento acumulado del PIB,107.72
2019,Barcelona,Crecimiento acumulado del PIB,108.47
